hour,referrer_source,referrer_name,ua_form_factor,page_type,page_url,location_country,location_region,location_city,page_path,referrer_url,referrer_host,total_visitors,total_carts,total_checkouts,total_orders_placed,total_pageviews,total_sessions,avg_duration,total_bounce_rate
2020-12-30 15:00:00,Search,Yandex,Desktop,Homepage,https://[shop_name]/,Russia,Bashkortostan Republic,Ufa,,yandex.ru,yandex.ru,1,0,0,0,1,1,0s,1.0
2020-11-03 23:00:00,Search,Yandex,Desktop,Homepage,https://[shop_name]/,Russia,Perm Krai,Perm,,yandex.ru,yandex.ru,1,0,0,0,1,1,0s,1.0
2020-08-10 14:00:00,Search,Yandex,Desktop,Homepage,https://[shop_name]/,Russia,Kemerovo Oblast,Kemerovo,,yandex.ru,yandex.ru,1,0,0,0,1,1,0s,1.0
2021-04-24 06:00:00,Search,Yandex,Desktop,Homepage,https://[shop_name]/,Russia,Kirov Oblast,Kirov,,yandex.ru,yandex.ru,1,0,0,0,1,1,0s,1.0
2021-04-11 15:00:00,Search,Yandex,Desktop,Homepage,https://[shop_name]/,Russia,Perm Krai,Perm,,yandex.ru,yandex.ru,1,0,0,0,1,1,0s,1.0
2020-11-23 01:00:00,Search,Yandex,Desktop,Homepage,https://[shop_name]/,Russia,Moscow,Moscow,,yandex.ru,yandex.ru,1,0,0,0,1,1,0s,1.0
2021-06-09 09:00:00,Unknown,,Desktop,Homepage,https://[shop_name]/,Switzerland,Bern,Bern,,www.[keyword_17]-foundation.org,www.[keyword_17]-foundation.org,1,0,0,0,1,1,0s,1.0
2021-10-05 17:00:00,Unknown,,Desktop,Homepage,https://[shop_name]/,Switzerland,Vaud,Donneloye,,www.[keyword_17]-foundation.org,www.[keyword_17]-foundation.org,1,0,0,0,2,1,1m2s,0.0
2021-07-08 09:00:00,Unknown,,Desktop,Homepage,https://[shop_name]/,Switzerland,Geneva,Geneva,,www.[keyword_17]-foundation.org,www.[keyword_17]-foundation.org,1,0,0,0,1,1,0s,1.0
2021-10-13 13:00:00,Unknown,,Desktop,Homepage,https://[shop_name]/,Switzerland,Fribourg,Cheiry,,www.[keyword_17]-foundation.org,www.[keyword_17]-foundation.org,1,0,0,0,1,1,0s,1.0
2021-04-12 09:00:00,Unknown,,Mobile,Homepage,https://[shop_name]/,Switzerland,Vaud,Lausanne,,www.[keyword_17]-foundation.org,www.[keyword_17]-foundation.org,1,0,0,0,1,1,0s,1.0
2021-09-24 17:00:00,Unknown,,Mobile,Homepage,https://[shop_name]/,Switzerland,Zurich,Obfelden,,www.startpage.com,www.startpage.com,1,0,0,0,3,1,22s,0.0
2021-07-23 23:00:00,Unknown,,Desktop,Homepage,https://[shop_name]/,Switzerland,Vaud,Yverdon-les-Bains,,www.startpage.com,www.startpage.com,1,0,0,0,4,1,1m9s,0.0
2021-10-12 15:00:00,Unknown,,Desktop,Homepage,https://[shop_name]/,Switzerland,Fribourg,Onnens,,www.startpage.com,www.startpage.com,1,0,0,0,1,1,0s,1.0
