referrer_source,referrer_host,device,page_type,page_url,page_path,country,region,city,page_views,carts,checkouts,avg_duration,bounce_rate,orders_placed,hour_of_day,day,month,year,day_in_month,shipping,legal
Search,Other,Desktop,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,16,0,8,2019,5,12,1.0
Search,Other,Desktop,Site,Other,Site,United States,Other,Ashburn,0.6931471805599453,0,0,0.0,0.0,0,16,0,8,2019,5,12,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,1.3862943611198906,0,0,2.0794415416798357,1.0,0,19,0,8,2019,5,2,1.0
Search,Other,Desktop,Site,Other,Site,France,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,19,0,8,2019,5,8,0.2
Search,Other,Desktop,Site,Other,Site,United States,Other,Ashburn,0.6931471805599453,0,0,0.0,0.0,0,19,0,8,2019,5,12,1.0
Social,Other,Desktop,Site,Other,Site,Other,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,10,1,8,2019,6,12,0.2
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,11,1,8,2019,6,2,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,18,0,8,2019,12,2,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Geneva,Geneva,0.6931471805599453,0,0,0.0,0.0,0,9,3,8,2019,15,2,1.0
Search,Other,Desktop,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,9,3,8,2019,15,12,1.0
Search,Other,Desktop,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,19,4,8,2019,16,12,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,1.3862943611198906,0,0,3.4011973816621555,1.0,0,19,4,8,2019,16,2,1.0
Social,Other,Desktop,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,9,5,8,2019,17,12,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,1.3862943611198906,0,0,4.890349128221754,1.0,0,18,5,8,2019,17,2,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,11,0,8,2019,19,2,1.0
Search,Other,Desktop,Site,Other,/checkouts,Switzerland,Geneva,Geneva,1.6094379124341003,0,1,4.343805421853684,1.0,0,19,2,8,2019,21,2,1.0
Search,Other,Desktop,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,23,2,8,2019,21,12,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Geneva,Geneva,0.6931471805599453,0,0,0.0,0.0,0,23,2,8,2019,21,2,1.0
Search,Other,Mobile,Site,Other,Site,France,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,23,2,8,2019,21,8,0.2
Search,Other,Desktop,Site,Other,Site,Switzerland,Other,Other,1.6094379124341003,0,0,4.127134385045092,1.0,0,14,2,8,2019,28,2,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,1.3862943611198906,0,0,4.465908118654584,1.0,0,15,2,8,2019,28,2,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,1.0986122886681098,0,0,3.4657359027997265,1.0,0,17,2,8,2019,28,2,1.0
Search,Other,Desktop,Site,Other,Site,France,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,17,2,8,2019,28,8,0.2
Search,Other,Mobile,Site,Other,Site,United States,Other,Ashburn,0.6931471805599453,0,0,0.0,0.0,0,22,2,8,2019,28,12,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,2.5649493574615367,0,0,5.442417710521793,1.0,0,22,2,8,2019,28,2,1.0
Search,Other,Desktop,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,23,2,8,2019,28,12,1.0
Search,Other,Mobile,Site,Other,Site,Switzerland,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,23,2,8,2019,28,2,1.0
Search,Other,Desktop,Site,Other,Site,France,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,23,2,8,2019,28,8,0.2
Search,Other,Desktop,Site,Other,Site,Switzerland,Geneva,Geneva,0.6931471805599453,0,0,0.0,0.0,0,13,3,8,2019,29,2,1.0
Search,Other,Desktop,Site,Other,Site,Switzerland,Other,Other,2.0794415416798357,0,0,6.272877006546167,1.0,0,15,3,8,2019,29,2,1.0
Search,Other,Desktop,Site,Other,Site,France,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,16,3,8,2019,29,8,0.2
Search,Other,Desktop,Site,Other,/checkouts,Switzerland,Other,Other,1.9459101490553132,0,1,5.123963979403259,1.0,0,17,3,8,2019,29,2,1.0
Search,Other,Desktop,Site,Other,Site,Switzerland,Other,Other,1.0986122886681098,0,0,3.8501476017100584,1.0,0,17,3,8,2019,29,2,1.0
Search,Other,Desktop,Site,Other,Site,France,Other,Other,0.6931471805599453,0,0,0.0,0.0,0,20,3,8,2019,29,8,0.2
Search,Other,Mobile,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,20,3,8,2019,29,12,1.0
Search,Other,Desktop,Site,Other,Site,United States,Iowa,Council Bluffs,0.6931471805599453,0,0,0.0,0.0,0,20,3,8,2019,29,12,1.0
Search,Other,Desktop,Site,Other,Site,United States,Other,Ashburn,0.6931471805599453,0,0,0.0,0.0,0,20,3,8,2019,29,12,1.0
